page_titles,url,scraped_date,avg_product_price
The 7 Best Bunk Beds of 2022,https://www.thespruce.com/best-bunk-beds-4150088,2021-12-27,820.952380952381
The 7 Best Narrow Refrigerators,https://www.thespruce.com/best-narrow-refrigerators-4158689,2021-12-27,813.0
The 8 Best Dishwashers of 2021,https://www.thespruce.com/best-dishwashers-4109539,2021-12-27,810.9791666666667
The 9 Best Ergonomic Office Chairs of 2021,https://www.thespruce.com/best-ergonomic-office-chairs-4150337,2021-12-27,771.4791666666666
The 9 Best Patio Tables of 2021,https://www.thespruce.com/best-patio-tables-4159500,2021-12-27,754.0
The 9 Best Powder Room Vanities of 2021,https://www.thespruce.com/best-powder-room-vanities-4159416,2021-12-27,748.625
The 10 Best Dining Room Tables of 2022,https://www.thespruce.com/best-dining-room-tables-4774916,2021-12-27,729.8
The 7 Best Daybeds of 2022,https://www.thespruce.com/best-daybeds-4153910,2021-12-27,706.3333333333334
The 3 Best Adjustable Beds of 2021,https://www.thespruce.com/best-adjustable-beds-4150228,2021-12-27,698.25
The 8 Best Queen Mattresses of 2021,https://www.thespruce.com/best-queen-mattresses-4150122,2021-12-27,694.0238095238095
The 8 Best Porch Swings of 2021,https://www.thespruce.com/best-porch-swings-4769338,2021-12-27,688.6666666666666
The 7 Best Portable Generators,https://www.thespruce.com/best-portable-generators-4149982,2021-12-27,686.8333333333334
The 7 Best Band Saws of 2021,https://www.thespruce.com/best-band-saws-4582135,2021-12-27,677.0833333333334
"The 11 Best King Mattresses of 2021, Tested by The Spruce",https://www.thespruce.com/best-king-mattresses-4151092,2021-12-27,675.1428571428571
The 10 Best Water Heaters of 2021,https://www.thespruce.com/best-water-heaters-4172821,2021-12-27,673.9
The Best Mattress Deals of January 2022,https://www.thespruce.com/best-mattress-deals-5115191,2021-12-27,669.4444444444445
The 7 Best Water Softeners of 2022,https://www.thespruce.com/best-water-softeners-4158685,2021-12-27,666.8095238095239
